Código IDA,Nombre de instalación,Provincia,Municipio,Nombre vía,Código postal,Espacio deportivo (texto libre)
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,PISTA PADEL 2
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,PISTA POLIDEPORTIVA 1
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,PISTA POLIDEPORTIVA 2
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,PISTA POLIDEPORTIVA 3
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,PISTA TENIS 1
48,CIUDAD DEPORTIVA,Sevilla,Guillena,AVDA. LA VEGA,41210,PISTA TENIS 2
49,POLIDEPORTIVO MUNICIPAL,Sevilla,Ronquillo (El),NACIONAL SEVILLA-MÉRIDA ,41880,PISCINA VASO CHAPOTEO
49,POLIDEPORTIVO MUNICIPAL,Sevilla,Ronquillo (El),NACIONAL SEVILLA-MÉRIDA ,41880,PISCINA VASO GRANDE
49,POLIDEPORTIVO MUNICIPAL,Sevilla,Ronquillo (El),NACIONAL SEVILLA-MÉRIDA ,41880,PISTA BALONCESTO
49,POLIDEPORTIVO MUNICIPAL,Sevilla,Ronquillo (El),NACIONAL SEVILLA-MÉRIDA ,41880,PISTA POLIDEPORTIVA
50,CAMPO FUTBOL,Sevilla,Ronquillo (El),CARRETERA  SEVILLA-GIJON,41880,CAMPO FUTBOL
51,C.E.I.P. VIRGEN DE GRACIA,Sevilla,Ronquillo (El),CAÑADAS,41880,PISTA POLIDEPORTIVA 1
51,C.E.I.P. VIRGEN DE GRACIA,Sevilla,Ronquillo (El),CAÑADAS,41880,PISTA POLIDEPORTIVA 2
51,C.E.I.P. VIRGEN DE GRACIA,Sevilla,Ronquillo (El),CAÑADAS,41880,SALA
52,SALON DE USOS MULTIPLES,Sevilla,Ronquillo (El),ESTRELLA,41880,SALA
55,AD. CHUNKWON,Sevilla,Cabezas de San Juan (Las),GORRIÓN,41730,SALA MUSCULACIÓN
55,AD. CHUNKWON,Sevilla,Cabezas de San Juan (Las),GORRIÓN,41730,TATAMI
56,JYMA GYM.,Sevilla,Utrera,ANTON GUEBRADO,41710,SALA
57,HOTEL CASTILLO BLANCO,Sevilla,Castilblanco de los Arroyos,CARRETERA .SEVILLA-CAZALLA,41230,PISCINA - VASO GRANDE
57,HOTEL CASTILLO BLANCO,Sevilla,Castilblanco de los Arroyos,CARRETERA .SEVILLA-CAZALLA,41230,PISCINA - VASO PEQUEÑO
58,ESTADIO MUNICIPAL DE FUTBOL,Sevilla,Castilblanco de los Arroyos,AVDA. DEL EJIDO,41230,CAMPO DE FUTBOL
59,GIMNASIO MUNICIPAL,Sevilla,Castilblanco de los Arroyos,LA PALMA.,41230,GIMNASIO
60,PABELLON DEPORTIVO,Sevilla,Castilblanco de los Arroyos,CAMINO DEL TOLEDILLO,41230,6285
61,C.E.I.P. MIGUEL DE CERVANTES,Sevilla,Castilblanco de los Arroyos,PABLO PICASO,41230,GIMNASIO
61,C.E.I.P. MIGUEL DE CERVANTES,Sevilla,Castilblanco de los Arroyos,PABLO PICASO,41230,PISTA POLIDEPORTIVA
62,I.E.S. CASTILBLANCO DE LOS ARROYOS,Sevilla,Castilblanco de los Arroyos,PABLO PICASO,41230,PISTA POLIDEPORTIVA
62,I.E.S. CASTILBLANCO DE LOS ARROYOS,Sevilla,Castilblanco de los Arroyos,PABLO PICASO,41230,PISTA POLIDEPORTIVA. 2
63,CASERIO VAZQUEZ,Sevilla,Castilblanco de los Arroyos,ANTONIO MACHADO,41230,PISCINA
64,PISTAS Y PISCINA DE VERANO- POLIDEPORTIVO MUNICIPA,Sevilla,Guillena,AVDA. DE LA VEGA,41210,PISTA DE BALONCESTO
64,PISTAS Y PISCINA DE VERANO- POLIDEPORTIVO MUNICIPA,Sevilla,Guillena,AVDA. DE LA VEGA,41210,PISTA DE TENIS 1
64,PISTAS Y PISCINA DE VERANO- POLIDEPORTIVO MUNICIPA,Sevilla,Guillena,AVDA. DE LA VEGA,41210,PISTA DE TENIS 2
64,PISTAS Y PISCINA DE VERANO- POLIDEPORTIVO MUNICIPA,Sevilla,Guillena,AVDA. DE LA VEGA,41210,PISTA POLIDEPORTIVA  2
64,PISTAS Y PISCINA DE VERANO- POLIDEPORTIVO MUNICIPA,Sevilla,Guillena,AVDA. DE LA VEGA,41210,PISTA POLIDEPORTIVA 1
64,PISTAS Y PISCINA DE VERANO- POLIDEPORTIVO MUNICIPA,Sevilla,Guillena,AVDA. DE LA VEGA,41210,VASO DE CHAPOTEO
64,PISTAS Y PISCINA DE VERANO- POLIDEPORTIVO MUNICIPA,Sevilla,Guillena,AVDA. DE LA VEGA,41210,VASO DEPORTIVO DE 25M.
65,GIMNASIO - POLIDEPORTIVO MUNICIPAL-,Sevilla,Guillena,AVDA. DE LA VEGA,41210,GIMNASIO
66,CAMPO MUNICIPAL DE FUTBOL LA VEGA,Sevilla,Guillena,AVDA. DE LA VEGA,41210,CAMPO DE FÚTBOL
67,HOTEL CORTIJO AGUILA REAL,Sevilla,Guillena,CARRETERA BURGUILLOS,41210,PISCINA
69,HOTEL JARDIN DE LA REINA,Sevilla,Guillena,PASEO DE LA ALAMEDA,41210,PISCINA
69,HOTEL JARDIN DE LA REINA,Sevilla,Guillena,PASEO DE LA ALAMEDA,41210,PISTA DE TENIS
70,POLIDEPORTIVO TORRE DE LA REINA,Sevilla,Guillena,PERAFÁN DE RIVERA,41210,CAMPO DE FÚTBOL
70,POLIDEPORTIVO TORRE DE LA REINA,Sevilla,Guillena,PERAFÁN DE RIVERA,41210,CAMPO DE FÚTBOL SALA
70,POLIDEPORTIVO TORRE DE LA REINA,Sevilla,Guillena,PERAFÁN DE RIVERA,41210,PISTA DE TENIS
70,POLIDEPORTIVO TORRE DE LA REINA,Sevilla,Guillena,PERAFÁN DE RIVERA,41210,PISTA POLIDEPORTIVA
71,PISCINA MUNICIPAL,Sevilla,Guillena,LEVANTE,41210,PISCINA
73,SENDERO EL MOLINO DE CORCHO,Sevilla,Cazalla de la Sierra,ÁREA RECREATIVA ISLA MARGARITA,41370,SENDERO EL MOLINO DE CORCHO
75,PISTA DE BALONCESTO DE LA PLAZA DE JUAN CARLOS I,Sevilla,Cazalla de la Sierra,PLAZA JUAN CARLOS I,41370,PISTA DE BALONCESTO
76,LA CASITA,Sevilla,Cazalla de la Sierra,CARRETERA CAZALLA - GUADALCANAL,41370,PISCINA
77,EL BERROCAL,Sevilla,Cazalla de la Sierra,CARRETERA REAL DE LA JARA,41370,PISCINA
78,FINCA MARIPASA,Sevilla,Cazalla de la Sierra,CARRIL OPISPO,41370,PISCINA
79,FINCA TRASIERRA,Sevilla,Cazalla de la Sierra,CRTA. PEDROSO-CAZALLA,41370,6313
80,SENDERO ARROYO DE LAS CAÑAS,Sevilla,Pedroso (El),CARRETERA EL PEDROSO - CAZALLA - ALMADEN DE LA PLATA,41360,SENDERO
82,C.E.I.P. CERVANTES,Sevilla,Pedroso (El),LOPE DE VEGA,41360,PISTA POLIDEPORTIVA
83,VILLA RURAL DE LA SIERRA NORTE: SIERRA HUEZNAR,Sevilla,Pedroso (El),CARRETERA EL PEDROSO- CONSTANTINA,41360,PISCINA
83,VILLA RURAL DE LA SIERRA NORTE: SIERRA HUEZNAR,Sevilla,Pedroso (El),CARRETERA EL PEDROSO- CONSTANTINA,41360,PISTA POLIDEPORTIVA
84,I.E.S. ANIBAL GONZALEZ,Sevilla,Pedroso (El),CERVANTES,41360,PISTA DE BALONCESTO
84,I.E.S. ANIBAL GONZALEZ,Sevilla,Pedroso (El),CERVANTES,41360,PISTA DE FÚTBOL SALA
85,PISCINA MUNICIPAL. GIMNASIO MUNICIPAL,Sevilla,Pedroso (El),PASEO DEL ESPINO,41360,GIMNASIO
85,PISCINA MUNICIPAL. GIMNASIO MUNICIPAL,Sevilla,Pedroso (El),PASEO DEL ESPINO,41360,PISCINA - VASO GRANDE
85,PISCINA MUNICIPAL. GIMNASIO MUNICIPAL,Sevilla,Pedroso (El),PASEO DEL ESPINO,41360,PISCINA - VASO PEQUEÑO
86,POLIDEPORTIVO MUNICIPAL DE EL PEDROSO,Sevilla,Pedroso (El),PASEO DEL ESPINO,41360,CAMPO FUTBOL
86,POLIDEPORTIVO MUNICIPAL DE EL PEDROSO,Sevilla,Pedroso (El),PASEO DEL ESPINO,41360,PISTA ATLETISMO
86,POLIDEPORTIVO MUNICIPAL DE EL PEDROSO,Sevilla,Pedroso (El),PASEO DEL ESPINO,41360,PISTA BALONCESTO
86,POLIDEPORTIVO MUNICIPAL DE EL PEDROSO,Sevilla,Pedroso (El),PASEO DEL ESPINO,41360,PISTA FUTBOL SALA
86,POLIDEPORTIVO MUNICIPAL DE EL PEDROSO,Sevilla,Pedroso (El),PASEO DEL ESPINO,41360,PISTA VOLEIBOL
87,URB. LA COLINA,Sevilla,Castilblanco de los Arroyos,CARRETERA BURGUILLOS-CSTIBLANCO,41230,CAMPO FUTBOL 7
87,URB. LA COLINA,Sevilla,Castilblanco de los Arroyos,CARRETERA BURGUILLOS-CSTIBLANCO,41230,PISCINA - VASO PEQUEÑO
87,URB. LA COLINA,Sevilla,Castilblanco de los Arroyos,CARRETERA BURGUILLOS-CSTIBLANCO,41230,PISCINA-VASO GRANDE
87,URB. LA COLINA,Sevilla,Castilblanco de los Arroyos,CARRETERA BURGUILLOS-CSTIBLANCO,41230,PISTA BALONCESTO
87,URB. LA COLINA,Sevilla,Castilblanco de los Arroyos,CARRETERA BURGUILLOS-CSTIBLANCO,41230,PISTA FUTBOL SALA
87,URB. LA COLINA,Sevilla,Castilblanco de los Arroyos,CARRETERA BURGUILLOS-CSTIBLANCO,41230,PISTA TENIS 1.
87,URB. LA COLINA,Sevilla,Castilblanco de los Arroyos,CARRETERA BURGUILLOS-CSTIBLANCO,41230,PISTA TENIS 2.
87,URB. LA COLINA,Sevilla,Castilblanco de los Arroyos,CARRETERA BURGUILLOS-CSTIBLANCO,41230,PISTA VOLEIBOL
88,URB. VALPARAISO,Sevilla,Mairena del Aljarafe,AVDA. LOS PINOS,41927,PISCINA
88,URB. VALPARAISO,Sevilla,Mairena del Aljarafe,AVDA. LOS PINOS,41927,PISCINA CHAPOTEO
89,URB LAS BRISAS,Sevilla,Mairena del Aljarafe,POLO,41927,PISCINA CHAPOTEO
89,URB LAS BRISAS,Sevilla,Mairena del Aljarafe,POLO,41927,PISCINA RECREATIVA
90,C.D.P. INTERNACIONAL EUROPA,Sevilla,Espartinas,SEVILLA- HUELVA,41807,PISTA DE BALONCESTO
90,C.D.P. INTERNACIONAL EUROPA,Sevilla,Espartinas,SEVILLA- HUELVA,41807,PISTA DE FUTBOL SALA 1
90,C.D.P. INTERNACIONAL EUROPA,Sevilla,Espartinas,SEVILLA- HUELVA,41807,PISTA DE FUTBOL SALA 2
90,C.D.P. INTERNACIONAL EUROPA,Sevilla,Espartinas,SEVILLA- HUELVA,41807,PISTA DE FUTBOL SALA 3
90,C.D.P. INTERNACIONAL EUROPA,Sevilla,Espartinas,SEVILLA- HUELVA,41807,PISTA DE FUTBOL SALA 4
90,C.D.P. INTERNACIONAL EUROPA,Sevilla,Espartinas,SEVILLA- HUELVA,41807,PISTA DE FUTBOL SALA 5
90,C.D.P. INTERNACIONAL EUROPA,Sevilla,Espartinas,SEVILLA- HUELVA,41807,PISTA DE MINIBASKET
90,C.D.P. INTERNACIONAL EUROPA,Sevilla,Espartinas,SEVILLA- HUELVA,41807,PISTA DE VOLEIBOL 1
90,C.D.P. INTERNACIONAL EUROPA,Sevilla,Espartinas,SEVILLA- HUELVA,41807,PISTA DE VOLEIBOL 2
90,C.D.P. INTERNACIONAL EUROPA,Sevilla,Espartinas,SEVILLA- HUELVA,41807,PISTA DE VOLEY PLAYA
90,C.D.P. INTERNACIONAL EUROPA,Sevilla,Espartinas,SEVILLA- HUELVA,41807,PISTA POLIDEPORTIVA
92,LAS NAVEZUELAS,Sevilla,Cazalla de la Sierra,CARRETERA PEDROSO - CAZALLA,41370,PISCINA
93,COMPLEJO POLIDEPORTIVO MUNICIPAL,Sevilla,Cazalla de la Sierra,PASEO DEL MORO,41370,CAMPO DE VOLEY PLAYA
93,COMPLEJO POLIDEPORTIVO MUNICIPAL,Sevilla,Cazalla de la Sierra,PASEO DEL MORO,41370,PISCINA 1
93,COMPLEJO POLIDEPORTIVO MUNICIPAL,Sevilla,Cazalla de la Sierra,PASEO DEL MORO,41370,PISCINA 2
93,COMPLEJO POLIDEPORTIVO MUNICIPAL,Sevilla,Cazalla de la Sierra,PASEO DEL MORO,41370,PISTA DE MINIBASKET
